CountyID,CountyName,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
23,Garfield County,,,,,,,,,,,,,,,,,263524.3611111111,278556.06944444444,329738.90277777775,337179.23611111107
24,Gilpin County,,,172029.25925925924,190856.41666666666,206269.6111111111,209393.8055555556,205072.8205128205,211471.38888888888,213921.66666666666,248465.9,238148.89583333334,231578.6875,227155.25,217716.5833333333,209717.77083333334,212760.0833333333,222190.89583333334,240470.5416666667,260308.62499999997,275615.375
25,Grand County,137932.11111111112,150467.3888888889,156296.74285714285,178367.02380952382,198115.60714285713,206926.08333333334,211887.63736263735,220536.98809523808,234351.2023809524,246002.55952380956,250130.1547619048,266934.8229166667,261629.13541666666,253054.60416666666,245798.96875,246120.40624999997,258934.95833333334,280314.28125,303932.1770833333,322477.37500000006
26,Gunnison County,168091.91666666666,150735.53333333335,161390.42407407408,178847.65740740742,190909.26388888885,200254.30833333332,205919.13076923077,215512.0916666667,224556.4924242424,233573.06818181815,241442.77272727274,241200.78787878787,233310.68181818177,224516.1515151515,221402.7803030303,220403.1287878788,229856.0909090909,245070.07575757577,265975.2045454546,289819.5909090909
27,Hinsdale County,,,,,,,,,,,,,,,,,,,278630.4166666667,312527.1666666667
28,Huerfano County,,,,,,,,,69702.16666666667,70753.0,73093.58333333333,71725.0,67608.5,65739.83333333333,62117.083333333336,62458.583333333336,104514.45833333333,106834.66666666667,137641.55555555553,146479.91666666666
29,Jackson County,,,,,,,,,,,,131390.16666666666,138595.16666666666,140027.16666666666,132497.0,137459.0,140148.41666666666,150468.5,149385.4583333333,156474.8333333333
30,Jefferson County,168882.92500000002,180503.95416666666,198950.09166666665,223472.34166666665,250818.83333333334,263571.0083333333,269259.20384615386,274544.525,282217.5375,289608.55833333335,291181.1708333333,290451.1041666666,278180.46428571426,273120.0238095238,262681.76587301586,267966.123015873,292693.9682539682,315375.6746031746,350714.1349206349,390321.03174603166
31,Kiowa County,,,,,,,,,,,,38520.333333333336,40106.54166666667,38644.375,38154.91666666667,40056.166666666664,42070.54166666667,45498.833333333336,54240.833333333336,57565.8611111111
32,Kit Carson County,,,,,,,,,,,,,,92904.16666666667,88159.88888888888,89747.36111111111,95668.1527777778,97790.69444444445,105127.48611111112,116252.26388888889
33,La Plata County,,,,,,,,,245269.39356060605,265438.2083333333,283786.8541666667,290756.0,284823.0833333333,277736.8541666667,269726.7291666667,271776.6458333334,287764.5625,309191.875,322952.8541666667,332849.8333333333
