"zip","city","county","pop"
"80650","Pierce","Weld","1508"
"81410","Austin","Delta","1506"
"80648","Nunn","Weld","1495"
"80864","Yoder","El Paso","1489"
"81654","Snowmass","Pitkin","1487"
"81047","Holly","Prowers","1473"
"81225","Crested Butte","Gunnison","1452"
"80813","Cripple Creek","Teller","1411"
"81624","Collbran","Mesa","1361"
"80454","Indian Hills","Jefferson","1361"
"81023","Beulah","Pueblo","1345"
"81131","Crestone","Saguache","1344"
"80478","Tabernash","Grand","1329"
"81152","San Luis","Costilla","1310"
"81525","Mack","Mesa","1301"
"81324","Dove Creek","Dolores","1295"
"81141","Manassa","Conejos","1280"
"80705","Log Lane Village","Morgan","1276"
"81236","Nathrop","Chaffee","1271"
"80928","Colorado Springs","El Paso","1268"
"81223","Cotopaxi","Fremont","1244"
"80810","Cheyenne Wells","Cheyenne","1241"
"81415","Crawford","Delta","1237"
"80731","Haxtun","Phillips","1233"
"80480","Walden","Jackson","1213"
"80105","Deer Trail","Arapahoe","1198"
"80611","Briggsdale","Weld","1181"
"80836","Stratton","Kit Carson","1157"
"80444","Georgetown","Clear Creek","1151"
"80743","Otis","Washington","1137"
"80624","Gill","Weld","1132"
"81427","Ouray","Ouray","1117"
"80809","Cascade","El Paso","1102"
"80821","Hugo","Lincoln","1101"
"81645","Minturn","Eagle","1101"
"81036","Eads","Kiowa","1081"
"80728","Fleming","Logan","1060"
"81630","De Beque","Mesa","1054"
"81133","Fort Garland","Costilla","1035"
"81424","Nucla","Montrose","1034"
"80451","Hot Sulphur Springs","Grand","1031"
"81123","Blanca","Costilla","1026"
"81154","South Fork","Rio Grande","1022"
"81233","Howard","Fremont","1005"
"81058","Manzanola","Otero","999"
"80835","Simla","Elbert","971"
"80515","Drake","Larimer","957"
"80623","Gilcrest","Weld","938"
"80545","Red Feather Lakes","Larimer","938"
"81090","Walsh","Baca","928"
"81523","Glade Park","Mesa","912"
"81020","Aguilar","Las Animas","902"
"80045","Aurora","Adams","901"
"80741","Merino","Logan","897"
