,RegionID,RegionName,SizeRank,2008-03,2008-04,2008-05,2008-06,2008-07,2008-08,2008-09,2008-10,2008-11,2008-12,2009-01,2009-02,2009-03,2009-04,2009-05,2009-06,2009-07,2009-08,2009-09,2009-10,2009-11,2009-12,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
10,40,New Jersey,11,328900,330000,321900,308500,302800,300200,298200,294800,294000,293200,289000,286500,288000,285400,280500,271400,269600,269600,269800,271700,272300,272100,272700,275200,281800,282400,278300,272800,271700,272000,270300,268400,269700,273700,273800,274400,272200,270200,265300,263400,264700,263000,261400,257100,254600,253700,252100,254700,256600,261300,258700,258000,256300,257800,255800,256200,256900,257300,257700,259100,260900,262200,263700,265400,267900,272900,273700,274500,270400,271000,270800,270300,273000,271300,272600,269600,272600,275000,273300,270500,269700,272100,272700,271600,271000,272200,270900,270900,268700,268300,267300,267600,269400,266700,263800,261900,263800,263800,261800,261700,262500,265000,266500,268000,267000,269700,268900,270900,266800,268000,266500,265100,261700,260200,263000,265100,266000,265000,266600,267000,268400,273200,275800,276700,273300,272600,271300,270100,270100,272800,276600,280200,282700,285500,287100,287000,287900,288600,290700,293900,303300,311600,316000,312100,
11,56,Virginia,12,248900,244700,237800,232000,230700,231200,230800,228600,223400,219400,217200,217900,217500,214000,211400,209400,211300,215500,221200,224700,223400,223500,224600,227100,225400,222600,218600,215300,218100,223400,229300,227900,226500,227300,224300,220500,212600,209900,205000,204700,209900,216600,220900,216200,213300,210600,210500,209400,210800,216000,220800,223700,225800,227900,231700,232800,237500,235900,235300,229900,231300,233000,237200,242600,244100,247300,244500,246700,243700,243100,237500,235300,234900,236700,236800,237700,238000,240600,240100,241300,241100,242900,243200,245700,245800,246900,246300,246500,247000,246800,245800,244400,239900,240500,241900,244500,243000,241700,242000,242300,243600,243800,245100,246500,248200,248300,249500,250800,250800,251300,251000,252600,254200,254400,254000,252300,253200,253600,254500,255300,257000,259400,259100,260300,258300,257800,256900,257400,258600,258600,262900,265300,267900,267200,268300,268100,268200,268900,272600,274700,275600,276200,275500,279900,
12,59,Washington,13,284500,278000,269100,261100,257100,256900,254800,253900,250800,253000,256100,259900,256100,248600,238300,235900,233800,236800,237200,238400,237200,238400,243900,248800,249500,244300,237700,232100,234800,237700,239700,235400,234600,237300,237900,238400,232900,227600,220100,214700,211600,209800,209600,208300,208100,209100,208900,206900,204400,208100,212000,218500,219600,223300,225500,229300,231500,232700,233200,233400,235400,237400,238900,239000,240800,244100,245800,245400,243200,243300,243600,245700,246300,247400,246900,248300,250600,252900,254800,255700,255600,255600,257600,260800,263400,265400,267800,269100,269100,270000,271300,274100,275000,278400,281000,282900,283700,284700,286900,288900,291300,294400,296400,298300,300500,302500,307000,308400,311000,310700,311800,315400,317800,321200,323100,326800,331400,333800,335800,340700,346800,351800,350600,348500,345700,343900,344100,345100,347900,350500,357500,364800,370200,371800,370900,369000,367800,369600,371700,374700,377400,384600,396100,408400,
13,26,Massachusetts,14,314500,308200,296700,291300,287400,286300,283200,282000,274200,268300,260000,263100,261600,264400,261800,265500,268400,272200,274800,274000,270300,273600,278600,287600,287200,286700,280400,281800,283200,289700,287500,286500,283800,282700,272500,262500,256500,261200,271100,280400,286300,285800,283900,279700,275400,271900,269200,270900,273800,279900,282400,287900,290900,291500,285800,281800,281500,286200,285500,293000,293300,302500,301900,307100,309400,312500,314400,313200,308700,306700,309100,316100,318400,316700,315900,316100,318200,317700,316700,316300,315500,317400,319200,327700,328400,326600,319400,319100,321400,324400,325200,326400,325600,327600,326300,326800,325100,328000,328300,329400,329700,330600,331600,333100,334700,336100,337900,340800,343600,344200,345500,346500,347200,346700,349300,352300,355300,355700,356200,365800,367400,372600,367300,370900,369800,370400,368100,368200,370600,368400,369400,377400,387600,389300,384000,382300,384200,383700,384100,386500,386500,390700,392800,404500,
14,22,Indiana,15,107000,106000,104700,105700,106000,105900,103600,102500,100000,99300,95200,94200,93800,96800,98700,101100,103700,105900,106700,105800,105800,105900,101900,99200,99400,104800,108200,108900,107100,105800,104300,104100,104000,104900,103800,102600,100700,102200,101900,102000,102700,104000,106000,104500,103400,101800,99800,99300,99500,104300,107300,110600,110100,111600,111200,113000,112600,113100,111400,109800,108800,110300,113300,116400,118600,119500,118100,117200,115600,115600,109200,105700,102000,105700,108300,112900,116200,118600,120100,120200,120100,120500,119600,119500,119400,121800,123900,126600,127300,127300,125400,124000,124900,125900,126800,127000,127000,128200,128600,129500,130300,130900,131700,132600,133100,133100,133500,134800,135200,134900,134200,135500,136400,137300,136600,137700,139000,140700,142700,143500,144700,144200,144700,144700,145600,146300,146600,146600,147000,147200,148600,150400,153300,153200,153100,153400,154500,156000,156700,159200,160500,161300,160300,162300,
15,8,Arizona,16,220200,212200,204000,198600,193000,188000,181200,175000,167100,158000,148700,140400,133400,127200,123200,124500,128200,132300,133900,133100,134400,133300,134100,132800,132900,132500,130700,129700,128200,126700,125600,123700,122500,118800,118300,117500,117000,114400,110800,110700,110300,111900,113300,114400,117700,119000,117300,114400,114100,118300,122200,124400,126400,129400,131100,134200,137100,140300,141900,142500,143900,146100,148300,151400,153700,154700,154700,155300,155200,157300,157100,157800,157300,158100,158400,157200,157800,158700,161600,162000,162600,163200,163500,165500,167500,170200,172200,173100,173600,173900,175400,177000,178400,180700,182400,184100,184300,185400,186700,189100,190000,192100,193100,195800,198400,198700,200200,200700,203200,203300,204500,204400,206200,206900,209800,210800,214200,216200,221200,223500,225400,225500,224100,225200,227500,230400,231600,232500,233700,233600,235500,236500,239300,238600,240300,241200,244100,244800,247200,249500,252500,255100,259300,265800,
16,53,Tennessee,17,118500,118900,118300,117700,117100,116700,115400,113300,110400,107800,107600,109700,111500,113000,112200,113900,113800,115400,115500,116400,116900,115800,114500,113300,114500,115500,116900,116000,113200,111200,110600,112100,112500,114500,114800,114800,113100,112300,111500,110300,110700,112000,112300,111700,110800,112500,111300,111200,110300,113400,114600,115200,114300,114600,115500,116600,116400,117600,117200,117500,116600,118700,121000,123700,125300,125000,123900,122900,123700,124400,122700,123500,124200,127400,128100,129300,130700,131500,131800,133000,134100,136300,136000,136600,136500,137100,137900,138500,139900,139800,140000,140100,140800,141300,142000,142800,143200,144300,145700,147700,148900,151100,152100,154300,153800,154300,154400,156100,157100,158600,158100,159300,160100,163500,165400,166100,168000,168900,171200,171900,173400,173100,172800,172400,172800,173300,173100,174200,175600,178000,180400,182400,182300,183100,183400,187500,188700,190700,190800,193200,195600,199600,202600,207400,
17,32,Missouri,18,132700,130800,125300,122900,123500,123700,123900,122600,119800,116600,115000,119500,122100,122500,118500,117800,119300,121000,123000,124300,125000,124800,124400,125300,125400,124000,122000,121600,120000,118400,117100,116700,115500,115100,116000,116800,113700,111300,109900,110700,112600,112800,112700,111700,113200,113500,112000,113600,113600,115700,114600,116300,116800,117500,118600,119100,117600,118000,115400,118200,117200,121000,121200,124200,127700,128600,129100,128100,127800,127100,126100,126800,126800,127900,127400,129300,131400,133700,133700,132800,133000,133400,134900,137200,139200,140500,140300,140500,140700,140800,139900,140200,139200,140700,141300,142800,142000,142100,142500,143900,144100,144000,145100,145600,146700,145200,145700,150500,152000,152000,147100,146300,146300,146500,147800,148900,150200,151500,153700,160000,161100,160900,155900,154100,153100,152400,152700,153900,155800,157700,161900,166700,168800,166800,163900,163800,163500,163300,163400,165800,166700,168300,168800,177200,
18,27,Maryland,19,269100,266800,261500,255500,250200,249500,249500,250600,251100,249500,246700,245600,244900,244000,235900,232600,225300,229300,228400,232300,228900,230600,230800,230700,227000,222300,218200,214800,211600,208900,207800,209900,212900,212900,213900,217300,215300,211500,202500,203000,202900,207700,206600,205800,207000,209200,212700,208400,209200,209600,216300,219500,220200,219900,214600,219000,222200,226200,227300,221000,220200,218800,224000,229300,235800,238500,238200,232900,233000,233700,235900,235600,237800,236600,238900,238900,240200,237900,236800,237100,237200,238900,236100,235600,233400,236400,235100,238900,240000,241600,239900,237800,237000,238700,236800,240200,240800,245400,245200,245000,247800,248700,248100,249400,248800,248600,247000,250800,252300,253400,253800,254000,253100,251000,255100,256700,260600,260200,262000,260400,261800,261400,262100,261600,260100,261800,263800,265500,264700,262900,263100,262700,263800,266100,271400,273500,273900,271900,270600,272100,276000,279600,279500,283000,
19,60,Wisconsin,20,156100,152500,149800,146500,145700,144700,144800,144000,143700,142000,140700,140800,140400,137600,134500,132800,132900,133400,134100,135400,135800,138100,138200,140500,140100,137400,133900,131500,132000,131800,130900,130500,131700,133200,136200,135800,132900,126900,124400,124700,125800,126300,126700,127600,127800,127100,127500,125600,125300,124800,125900,126800,127900,129700,130900,130900,129700,130200,133100,135200,135900,134500,134500,136700,139400,141700,141600,139000,138100,137600,137100,135700,135100,135400,137500,138800,141500,142400,144200,142500,142600,143400,146800,147800,147600,148000,149400,149700,149900,149700,149200,150000,149200,149700,149000,152000,154800,156500,155300,154900,154000,154300,154700,156300,157600,158300,158700,158700,158900,159000,160400,160700,161500,162200,163000,164300,165400,166800,168800,171700,173600,173900,172200,172100,171500,171300,171000,172500,175100,175900,175100,177600,179800,183200,183200,182400,181100,180500,180300,182500,183000,187100,192400,197200,
